,Country,HDI_value,Life_expectancy,Expected_school_years,Mean_school_years,GNI_per_capita,GNI_minus_HDI_rank,HDI_rank,Region,Level
158,Uganda,0.55,63.638,11.49553237,6.235476362,2240.585404,12.0,160.0,Africa,Bottom 5
160,Nigeria,0.548,53.633,10.51407,7.585969925,4754.836408,-15.0,162.0,Africa,Bottom 5
161,Rwanda,0.548,67.129,11.38352013,4.878310204,2316.809277,8.0,163.0,Africa,Bottom 5
168,Senegal,0.517,67.913,9.144550323,2.88736686,3463.806076,-12.0,170.0,Africa,Bottom 5
175,Ethiopia,0.492,65.645,9.938743514,2.390854081,2368.758391,-8.0,176.0,Africa,Bottom 5
92,Algeria,0.745,77.129,15.48787975,6.987443608,10978.40571,13.0,93.0,Africa,Top 5
104,Egypt,0.728,70.159,12.91180992,9.84810224,12360.8163,-8.0,103.0,Africa,Top 5
109,South Africa,0.717,61.48,14.26364994,11.60696983,13185.56419,-18.0,105.0,Africa,Top 5
120,Morocco,0.698,74.973,14.59442043,6.05,7954.522461,4.0,122.0,Africa,Top 5
144,Ghana,0.602,63.945,11.58627987,6.432318439,5380.271535,-10.0,144.0,Africa,Top 5
89,Brazil,0.76,73.425,15.5788002,8.278307638,14615.89235,0.0,84.0,Americas,Bottom 5
90,Colombia,0.758,73.659,14.43749046,8.862859726,15013.92724,-8.0,89.0,Americas,Bottom 5
102,Paraguay,0.731,70.475,13.91056957,8.861840248,13161.07522,-9.0,99.0,Americas,Bottom 5
135,Guatemala,0.629,68.674,10.76720388,5.668648013,8996.415822,-17.0,136.0,Americas,Bottom 5
157,Haiti,0.552,63.728,11.13756869,5.609468426,2801.712516,6.0,158.0,Americas,Bottom 5
17,Canada,0.935,82.847,15.96065044,13.86876597,48444.39319,8.0,16.0,Americas,Top 5
20,United States,0.927,78.203,16.41274071,13.57549953,65564.93798,-11.0,21.0,Americas,Top 5
43,Chile,0.86,79.519,16.76792908,11.11136804,24430.99593,15.0,42.0,Americas,Top 5
47,Argentina,0.849,76.064,18.97950935,11.14408016,22047.97131,17.0,47.0,Americas,Top 5
57,Panama,0.82,76.826,13.21381473,10.68696295,32029.36025,-6.0,57.0,Americas,Top 5
112,Philippines,0.71,72.187,12.78335953,8.971409559,9058.840558,5.0,118.0,Asia,Bottom 5
128,Bangladesh,0.67,73.698,11.94633007,7.379059792,6511.122178,2.0,130.0,Asia,Bottom 5
133,India,0.644,67.744,12.58370972,6.570700169,6950.526798,-6.0,135.0,Asia,Bottom 5
146,Nepal,0.601,70.484,12.64451981,4.485598758,4025.554685,5.0,149.0,Asia,Bottom 5
164,Pakistan,0.54,66.431,7.89510849,4.422319019,5374.270423,-27.0,165.0,Asia,Bottom 5
3,"Hong Kong, China (SAR)",0.956,84.315,17.8495903,12.34776974,62485.50516,6.0,3.0,Asia,Top 5
8,Singapore,0.949,84.133,16.90273094,11.92488003,88761.14559,-6.0,10.0,Asia,Top 5
23,Japan,0.92,84.82,15.45631981,12.66923046,43643.86417,9.0,22.0,Asia,Top 5
62,Malaysia,0.807,76.26,12.93247032,10.74828052,27295.41224,-7.0,68.0,Asia,Top 5
65,Thailand,0.803,79.68,15.58131027,8.834560711,16886.51113,10.0,69.0,Asia,Top 5
46,Hungary,0.851,74.958,15.07330036,12.24958992,34195.54059,-2.0,46.0,Europe,Bottom 5
52,Romania,0.827,74.117,14.50753021,11.36019615,31641.38368,-1.0,52.0,Europe,Bottom 5
64,Serbia,0.805,74.137,14.50444031,11.5047611,19494.00891,3.0,60.0,Europe,Bottom 5
69,Bulgaria,0.799,71.528,13.86802959,11.41318035,25920.80375,-12.0,70.0,Europe,Bottom 5
99,Ukraine,0.734,68.564,13.32800961,11.12330123,11416.2168,3.0,86.0,Europe,Bottom 5
0,Switzerland,0.967,84.255,16.5837307,13.90406622,69432.78669,6.0,1.0,Europe,Top 5
1,Norway,0.966,83.393,18.63846016,13.06234279,69189.76165,6.0,2.0,Europe,Top 5
2,Iceland,0.959,82.815,19.10672951,13.76716995,54688.37921,16.0,4.0,Europe,Top 5
4,Denmark,0.952,81.882,18.77403069,12.96049023,62018.95694,6.0,8.0,Europe,Top 5
5,Sweden,0.952,83.505,19.03676987,12.67372015,56995.84796,10.0,5.0,Europe,Top 5
58,Oman,0.819,73.935,12.96403027,11.89274979,32967.43827,-13.0,58.0,Middle East,Bottom 5
98,Jordan,0.736,74.215,12.62659427,10.44668007,9294.801499,15.0,98.0,Middle East,Bottom 5
108,Lebanon,0.723,74.416,12.05109224,8.602969077,12313.42257,-11.0,104.0,Middle East,Bottom 5
127,Iraq,0.673,71.336,12.22275571,6.811878947,9091.865377,-11.0,128.0,Middle East,Bottom 5
