"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.6399993896484","","","","","","","","","52.9300003051758","","","","","","","","","","58.7000007629395","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","1.39999997615814","","","","0.740000009536743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44174790382385","4.57541990280151","","5.88423299789429","","","7.33971500396729","6.40000009536743","7.04204988479614","",
"Africa Western and Central","AFW","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3818397521973","","","22.1599998474121","19.8896903991699","","","","27.3441772460938","","28.9550285339355","","",
"Albania","ALB","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","","","","","","","78.7600021362305","","87.9316711425781","82.1500015258789","85.2200012207031","85.0422515869141","84.6635208129883","86.3898086547852","87.3639907836914","81.180793762207","88.39501953125","88.8029632568359","","90.1680679321289","90.4998779296875","",
"Andorra","AND","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.0299987792969","71.6699981689453","71.4800033569336","","","","","","81.7200012207031","",
"Arab World","ARB","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","18.1800003051758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.8600006103516","","","","","","","","","","","","76.0999984741211","78.25","82","","82.0299987792969","83.4499969482422","",
"Argentina","ARG","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","17.1000003814697","","","","","","","","","","25.8999996185303","","","","","","","","","","","36.2700004577637","","","","","","","","","","46.0999984741211","","56.189998626709","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.9700012207031","","","","","","","","","97.9898300170898","96.120002746582","98.6550064086914","99.164306640625","99.2497329711914","96.870002746582","89.1736297607422","96.1399993896484","99.4690017700195","99.6290664672852","96","98.9809951782227","99.1247024536133","",
"American Samoa","ASM","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","65","","","","","","60.5999984741211","","","","","","","","","","80.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.0342864990234","","",
"Australia","AUS","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.0400009155273","90.2600021362305","90.7799987792969","91.4700012207031","92.0199966430664","92.2399978637695","93.3499984741211","93.7399978637695","94.2799987792969","91.0800018310547","91.4499969482422","92.3899993896484","92.379997253418","92.8199996948242","93.4700012207031","93.870002746582","94.5800018310547","94.5199966430664","95.0299987792969","92.3012619018555",
"Austria","AUT","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9404754638672","98.8540496826172","98.945442199707","98.9944458007812","99.1399993896484","98.6645889282227","98.6970291137695","98.737174987793","98.675910949707","98.609748840332","98.7214126586914","98.5450592041016","98.6379013061523","98.7511596679688",
"Azerbaijan","AZE","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.0100021362305","","","","","","","","93.5100021362305","93.629997253418","93.7099990844727","93.8399963378906","93.8300018310547","93.8300018310547","93.8499984741211","93.8499984741211","93.8399963378906","93.9000015258789","93.6800003051758","93.620002746582","93.620002746582","","97.6777648925781","98.6941452026367","97.9599990844727",
"Burundi","BDI","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.76999998092651","","","","","","","","","","","","","","","","","","8.90999984741211","","","","","","4.42000007629395","","","7.09000015258789","","","","","","",
"Belgium","BEL","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","30.2700004577637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","","75.1500015258789","76.4100036621094","77.0899963378906","77.5","77.6699981689453","79.4400024414062","80.1500015258789","82.1900024414062","82.620002746582","84.7200012207031","86.2156219482422","87.2099990844727","88.1235656738281","87.8339614868164","88.3022537231445","",
"Benin","BEN","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","1.39999997615814","","","","","","","","","","","","","","","","","","","","","","","8.43000030517578","","","","","","","","","","","","","","","5.24588012695312","10.8258752822876","8.46360969543457","","7.21756982803345","15.3162183761597","",
"Burkina Faso","BFA","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.13000011444092","0.939999997615814","","","","","","","5.96000003814697","","","","9.93000030517578","10.0600004196167","","7.78822994232178","10.0773801803589","7.32211780548096",
"Bangladesh","BGD","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","1.48000001907349","","","","","","","4.44999980926514","","","","","","","","","","","","","","","","","","","","22.0300006866455","","","","","","","","","","29.5799999237061","30.6100006103516","28.7399997711182","30.7700004577637","36.4900016784668","36.9199981689453","38.4599990844727","39.8600006103516","41.1300010681152","","45.3600006103516","43.232349395752","",
"Bulgaria","BGR","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1599998474121","","","","","","","","","84.9700012207031","","","","","89.120002746582","90.0100021362305","90.4300003051758","90.9400024414062","91.7399978637695","92.4100036621094","93.0100021362305","93.0199966430664","93.0699996948242","93.6800003051758","94.1699981689453","94.4400024414062","94.4749984741211","94.6612014770508","94.879997253418","95.1631698608398","95.7140884399414","",
"Bahrain","BHR","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","7.78000020980835","","","","","","","","","","","","","","","","","","","","35.7000007629395","","","","","","","","","","56.9500007629395","","","","","","","","","56.7000007629395","","","","","","66.3000030517578","68.0699996948242","77.8499984741211","","79.9000015258789","","81.370002746582","88.5999984741211",
"Bahamas, The","BHS","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.3000030517578","","","","","","","","","","91.629997253418","","","","","","","","","","89.1699981689453","","","","","","","","","92.7728500366211","","","","96.1888656616211",
"Bosnia and Herzegovina","BIH","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.LO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.810001373291","44.8899993896484","57.8995628356934","59.1528739929199","","49.6764755249023","73.0599975585938","50.9571685791016","73.9899978637695","52.3153343200684","82.7399978637695","61.6673622131348","86.1900024414062","63.0877456665039",
