year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,"Egypt, Arab Rep.",South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,"Yemen, Rep.",United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Fed. Sts.",Nauru,Samoa,Solomon Islands,Tonga
1960,6.936,6.364,8.187,6.996,6.88,7.503,6.794,6.159,7.04,6.847,6.061,6.735,6.5,6.955,6.208,3.811,3.654,4.697,3.075,5.844,7.148,6.784,5.921,6.03,6.8,4.451,5.76,2.0,6.407,6.248,2.02,2.34,2.113,2.31,2.24,2.44,2.85,4.29,2.57,2.17,7.247,7.669,5.818,5.3,7.938,6.718,3.866,7.152,6.647,7.626,3.453,4.24,2.84,6.553,8.234,6.686,5.269,7.646,6.97,6.885
1961,6.968,6.353,8.194,7.038,6.877,7.564,6.779,6.138,7.072,6.886,6.044,6.712,6.489,6.933,6.2,3.753,3.62,4.655,3.069,5.865,7.087,6.831,5.937,6.063,6.8,3.863,5.41,1.96,6.362,6.262,1.94,2.17,2.073,2.29,2.17,2.52,2.94,3.88,2.55,2.21,7.248,7.769,5.809,5.8,7.963,6.678,3.858,7.123,6.659,7.634,3.54,4.31,2.84,6.625,8.266,6.697,5.289,7.641,6.97,6.844
1962,6.997,6.356,8.197,7.079,6.875,7.607,6.755,6.11,7.088,6.947,5.995,6.663,6.472,6.89,6.194,3.681,3.461,4.602,3.106,5.872,7.02,6.865,5.953,6.075,6.8,6.085,5.21,1.98,6.292,6.277,1.79,2.04,2.015,2.24,2.14,2.58,2.91,3.98,2.55,2.25,7.251,7.847,5.797,6.869,7.963,6.659,3.85,7.096,6.67,7.636,3.442,4.19,2.84,6.557,8.285,6.7,5.29,7.646,6.97,6.804
1963,7.023,6.349,8.198,7.12,6.872,7.649,6.718,6.077,7.0,6.98,5.929,6.584,6.447,6.869,6.182,3.607,3.319,4.536,3.101,5.865,6.947,6.841,5.969,6.065,6.8,7.513,5.16,2.0,6.182,6.291,1.82,2.01,2.029,2.21,2.06,2.65,2.93,3.99,2.67,2.33,7.256,7.919,5.779,6.901,7.981,6.619,3.838,7.068,6.688,7.654,3.332,4.05,2.84,6.486,8.309,6.712,5.284,7.656,6.965,6.774
1964,7.053,6.362,8.198,7.157,6.867,7.673,6.643,6.03,6.969,6.931,5.818,6.475,6.415,6.847,6.175,3.456,3.19,4.457,3.08,5.808,6.867,6.837,5.979,6.065,6.8,6.672,4.97,2.05,6.016,6.248,1.82,1.96,1.995,2.19,1.96,2.66,2.98,3.88,2.6,2.47,7.263,7.985,5.724,6.928,8.038,6.573,3.826,7.061,6.694,7.672,3.146,3.8,2.84,6.411,8.33,6.734,5.302,7.667,6.964,6.734
1965,7.085,6.367,8.198,7.19,6.864,7.679,6.518,5.967,6.93,6.89,5.675,6.333,6.356,6.823,6.123,3.115,2.913,4.364,3.062,5.728,6.781,6.83,5.941,6.029,6.8,6.605,4.66,2.14,5.829,6.192,1.82,1.91,2.055,2.09,1.99,2.59,2.94,3.73,2.61,2.39,7.271,8.078,5.647,6.945,8.067,6.522,3.814,6.996,6.716,7.658,2.977,3.54,2.84,6.363,8.344,6.733,5.294,7.651,6.951,6.662
1966,7.116,6.386,8.198,7.217,6.867,7.672,6.433,5.907,6.895,6.875,5.529,6.159,6.258,6.799,6.071,2.749,2.721,4.259,3.048,5.649,6.667,6.824,5.881,6.001,6.8,6.307,4.46,1.58,5.627,6.108,1.89,1.9,1.998,2.03,2.02,2.5,2.9,3.59,2.62,2.37,7.277,8.091,5.57,6.97,8.127,6.494,3.802,6.922,6.736,7.655,2.881,3.41,2.84,6.308,8.356,6.78,5.213,7.625,6.941,6.596
1967,7.148,6.401,8.201,7.237,6.88,7.667,6.357,5.852,6.844,6.91,5.368,5.957,6.134,6.754,6.027,2.528,2.558,4.144,3.039,5.546,6.539,6.854,5.825,5.98,6.8,5.806,3.91,2.23,5.422,6.01,2.01,3.66,1.975,2.02,2.01,2.39,2.81,3.28,2.35,2.28,7.282,8.107,5.485,6.997,8.166,6.492,3.79,6.828,6.674,7.658,2.848,3.35,2.84,6.146,8.34,6.815,5.074,7.612,6.94,6.59
1968,7.187,6.42,8.207,7.251,6.903,7.655,6.286,5.782,6.782,6.911,5.202,5.737,6.01,6.706,5.974,2.386,2.464,4.025,3.027,5.432,6.409,6.85,5.76,5.969,6.8,6.508,3.53,2.13,5.284,5.888,2.06,3.63,1.939,2.27,1.998,2.29,2.75,3.06,2.12,2.07,7.286,8.12,5.382,7.046,8.196,6.497,3.786,6.703,6.613,7.627,2.888,3.34,2.84,5.971,8.315,6.86,4.938,7.592,6.917,6.371
1969,7.163,6.438,8.217,7.259,6.937,7.653,6.195,5.719,6.72,6.961,5.079,5.506,5.87,6.655,5.925,2.334,2.456,3.902,3.052,5.304,6.303,6.863,5.684,5.912,6.8,6.175,3.22,2.13,5.152,5.729,2.04,3.19,1.925,2.27,2.04,2.19,2.7,2.99,2.0,1.93,7.293,8.128,5.279,7.099,8.215,6.485,3.782,6.562,6.545,7.597,2.886,3.28,2.84,5.785,8.264,6.889,4.783,7.547,6.97,6.15
