year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,Egypt,South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,Yemen,United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Samoa,Solomon Islands,Tonga
1960,7640973.0,45053782.0,3022294.0,3340907.0,21376693.0,11424922.0,26896479.0,16440172.0,11624933.0,6961215.0,72388126.0,15606209.0,1883514.0,4063655.0,3858443.0,17909356.0,180671000.0,8153350.0,20386045.0,1126005.0,27891897.0,51828660.0,435990338.0,10123658.0,45709310.0,667070000.0,1646400.0,93216000.0,7956197.0,26851747.0,9983967.0,18406905.0,6638992.0,7867374.0,42824093.0,5327827.0,3581239.0,175574.0,4579603.0,7484656.0,530485.0,853471.0,1794406.0,7022052.0,5532301.0,131334.0,2114020.0,165477.0,36010.0,2435403.0,10276477.0,2371800.0,9328.0,47157.0,14703.0,43061.0,4607.0,112490.0,139688.0,66170.0
1961,7862217.0,45989310.0,3106779.0,3436375.0,21906102.0,11628883.0,27600898.0,16908035.0,11931085.0,7162667.0,74605447.0,16095203.0,1927394.0,4186201.0,3929030.0,18271000.0,183691000.0,8324802.0,20726276.0,1159870.0,28792621.0,53310348.0,446564729.0,10318396.0,46921277.0,660330000.0,1702400.0,94055000.0,8164443.0,27650334.0,10029321.0,18555250.0,6689077.0,7943118.0,43399766.0,5434294.0,3609800.0,179029.0,4611687.0,7519998.0,539854.0,897591.0,1850084.0,7194553.0,5655232.0,137989.0,2185000.0,172346.0,39680.0,2526347.0,10483000.0,2419700.0,9555.0,48323.0,15219.0,44610.0,4774.0,115496.0,142912.0,68037.0
1962,8092231.0,46965292.0,3186025.0,3534686.0,22465126.0,11800771.0,28337013.0,17418522.0,12253092.0,7337375.0,76865323.0,16599029.0,1973130.0,4312044.0,4001575.0,18614000.0,186538000.0,8497059.0,21072538.0,1195301.0,29723536.0,54881146.0,457283090.0,10521116.0,48156128.0,665770000.0,1750200.0,94933000.0,8380172.0,28481040.0,10061734.0,18676550.0,6740264.0,8012946.0,43943674.0,5573815.0,3638918.0,182378.0,4647727.0,7561588.0,549941.0,940554.0,1909578.0,7413875.0,5782221.0,144946.0,2293000.0,179349.0,44630.0,2620910.0,10742000.0,2482000.0,9793.0,49538.0,15755.0,46218.0,4979.0,118597.0,146201.0,69940.0
1963,8333663.0,47973575.0,3258890.0,3635876.0,23051637.0,11982118.0,29091869.0,17954564.0,12577502.0,7514714.0,79164235.0,17113823.0,2021909.0,4440264.0,4073068.0,18964000.0,189242000.0,8670144.0,21421705.0,1232124.0,30674731.0,56504402.0,468138575.0,10729818.0,49447776.0,682335000.0,1795000.0,95900000.0,8602160.0,29342322.0,10087947.0,18797850.0,6787950.0,8078145.0,44462372.0,5694247.0,3666537.0,185653.0,4684483.0,7604328.0,560827.0,984714.0,1970316.0,7667928.0,5911135.0,152211.0,2379000.0,186501.0,50380.0,2719341.0,10950000.0,2531800.0,10037.0,50791.0,16302.0,47744.0,5226.0,121764.0,149589.0,71885.0
1964,8586363.0,49012016.0,3334834.0,3740535.0,23666548.0,12179813.0,29858922.0,18511361.0,12898886.0,7695739.0,81488595.0,17637411.0,2073119.0,4571109.0,4146244.0,19325000.0,191889000.0,8842525.0,21769453.0,1270065.0,31643032.0,58178374.0,479229598.0,10946392.0,50799999.0,698355000.0,1841600.0,96903000.0,8828406.0,30232141.0,10119835.0,18919126.0,6832855.0,8144340.0,44951156.0,5789228.0,3694339.0,188983.0,4722072.0,7661354.0,572577.0,1035640.0,2030543.0,7929566.0,6048006.0,159692.0,2475000.0,193816.0,56867.0,2821968.0,11167000.0,2585400.0,10292.0,52088.0,16852.0,49181.0,5515.0,124894.0,153085.0,73879.0
1965,8849203.0,50086764.0,3423210.0,3849788.0,24310612.0,12365976.0,30629174.0,19089380.0,13239171.0,7882606.0,83817583.0,18169050.0,2125177.0,4704965.0,4223820.0,19678000.0,194303000.0,9012938.0,22112629.0,1308835.0,32625316.0,59902519.0,490140146.0,11173411.0,52209010.0,715185000.0,1886900.0,97952000.0,9056408.0,31149337.0,10147935.0,19031576.0,6876624.0,8204168.0,45386892.0,5856472.0,3723168.0,192286.0,4759012.0,7733853.0,585236.0,1099440.0,2088831.0,8202140.0,6195593.0,167103.0,2563000.0,200866.0,64065.0,2928771.0,11388000.0,2628400.0,10547.0,53439.0,17402.0,50684.0,5832.0,127978.0,156686.0,75924.0
1966,9122864.0,51188234.0,3521626.0,3964299.0,24952689.0,12590069.0,31406541.0,19690087.0,13597065.0,8074521.0,86139359.0,18702688.0,2177584.0,4840958.0,4302639.0,20048000.0,196560000.0,9181722.0,22453893.0,1348388.0,33617170.0,61669806.0,500740247.0,11408710.0,53678667.0,735400000.0,1934400.0,98851000.0,9284688.0,32086071.0,10178653.0,19215450.0,6927969.0,8258057.0,45802519.0,5918002.0,3753012.0,195570.0,4797381.0,7807797.0,598804.0,1178360.0,2148260.0,8485104.0,6351494.0,173976.0,2629000.0,207543.0,72192.0,3039887.0,11651000.0,2675900.0,10805.0,54425.0,17927.0,52258.0,6043.0,131073.0,160393.0,78002.0
1967,9408924.0,52293065.0,3629577.0,4083870.0,25620276.0,12876118.0,32196360.0,20314066.0,13968175.0,8271913.0,88446124.0,19235618.0,2229994.0,4978862.0,4382999.0,20412000.0,198712000.0,9348939.0,22799059.0,1388628.0,34621320.0,63510929.0,511606372.0,11652716.0,55214768.0,754550000.0,1977600.0,99879000.0,9507099.0,33037801.0,10216604.0,19534242.0,6966522.0,8310226.0,46215988.0,5991785.0,3784539.0,198751.0,4835354.0,7867931.0,613318.0,1271183.0,2206731.0,8778869.0,6516444.0,179700.0,2745000.0,214189.0,81439.0,3157242.0,11799000.0,2724100.0,10988.0,54996.0,18655.0,53846.0,6135.0,133764.0,164245.0,79814.0
1968,9708632.0,53432783.0,3744010.0,4207587.0,26337930.0,13172614.0,32998319.0,20957287.0,14347899.0,8475729.0,90741240.0,19766796.0,2282391.0,5118111.0,4465328.0,20744000.0,200706000.0,9514716.0,23150583.0,1429447.0,35638342.0,65408276.0,522716889.0,11906266.0,56810507.0,774510000.0,2012000.0,101011000.0,9725281.0,34002560.0,10255815.0,19799831.0,7007586.0,8369603.0,46614325.0,6067714.0,3816486.0,201488.0,4864883.0,7912273.0,628798.0,1372460.0,2266368.0,9085016.0,6690524.0,199416.0,2803000.0,219337.0,91749.0,3282711.0,12009000.0,2748100.0,11080.0,55529.0,19862.0,55457.0,6328.0,136020.0,168282.0,81353.0
1969,10014858.0,54631914.0,3861271.0,4334974.0,27072571.0,13475960.0,33811615.0,21614676.0,14734255.0,8690383.0,93045777.0,20291942.0,2334992.0,5257081.0,4549334.0,21028000.0,202677000.0,9680282.0,23508711.0,1470886.0,36660799.0,67294133.0,533880544.0,12167036.0,58460939.0,796025000.0,2042500.0,102219000.0,9947597.0,34973782.0,10298723.0,20009141.0,7123249.0,8434172.0,46976256.0,6136387.0,3847707.0,203369.0,4891860.0,7968072.0,645255.0,1473100.0,2328159.0,9403356.0,6875859.0,239660.0,2877000.0,222469.0,103025.0,3417114.0,12263000.0,2772800.0,11159.0,56360.0,21305.0,57145.0,6581.0,138233.0,172476.0,82885.0
