year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,"Egypt, Arab Rep.",South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,"Yemen, Rep.",United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Fed. Sts.",Nauru,Samoa,Solomon Islands,Tonga,total,global_mortality_rate,global_mortality_excl_missing
1985,197.0,207.5,160.4,171.4,223.1,74.4,118.9,75.0,103.3,155.2,76.9,48.9,54.9,100.1,166.3,9.8,12.7,22.4,30.6,36.1,72.1,177.7,146.2,174.2,153.0,54.2,10.9,7.5,21.8,48.2,21.5,31.7,39.1,19.6,22.2,9.0,10.2,7.5,9.7,7.6,65.6,43.9,41.1,60.8,153.6,21.3,14.4,25.1,28.3,65.4,11.3,13.8,39.0,108.1,56.6,56.8,85.8,35.4,43.7,25.8,68.07666666666665,86.52454768595851,86.52454768595851
1986,193.6,208.4,155.4,163.1,219.1,64.8,110.0,71.8,98.0,150.1,73.9,41.8,52.9,95.9,161.8,9.4,12.4,22.2,29.6,34.7,69.6,171.4,142.2,167.3,150.4,53.9,10.3,7.1,20.5,45.9,20.8,33.1,37.5,18.8,21.3,8.9,10.2,7.3,9.7,7.5,58.8,42.0,39.1,59.1,146.2,19.7,13.7,24.3,26.8,60.6,11.0,13.4,38.1,105.2,55.0,55.5,81.8,34.1,42.4,25.2,65.57666666666667,84.84680760317976,84.84680760317976
1987,191.2,209.2,151.5,155.0,215.1,58.5,102.3,68.9,93.1,144.4,71.1,40.0,50.9,91.8,157.4,9.1,12.1,21.9,29.1,33.5,66.6,165.0,138.2,160.2,147.7,53.9,9.7,6.8,19.3,43.6,19.7,34.4,36.2,18.1,20.6,8.8,10.1,7.0,9.7,7.4,52.9,40.3,37.1,57.5,139.8,18.4,13.1,23.7,25.2,56.1,10.6,12.9,37.3,102.1,53.2,54.0,77.9,32.9,41.3,24.5,63.331666666666656,83.32099362811383,83.32099362811383
1988,189.0,209.7,148.6,147.9,211.1,54.5,95.7,66.3,88.6,138.5,68.4,38.4,49.1,87.9,153.1,8.8,11.9,21.3,29.0,32.3,63.2,158.6,134.1,152.9,145.1,54.0,9.1,6.6,18.3,41.4,18.5,34.8,34.4,17.8,20.0,8.6,9.8,6.7,9.6,7.3,47.7,38.7,35.3,56.1,134.3,17.1,12.6,23.4,23.7,51.8,10.2,12.4,36.7,98.5,51.4,52.5,74.1,31.7,40.2,23.8,61.218333333333334,81.82188443805836,81.82188443805836
1989,186.3,209.9,148.1,142.3,207.0,52.2,90.3,64.1,84.5,132.7,65.7,37.0,47.2,84.1,148.9,8.5,11.6,20.4,29.0,31.3,59.6,152.3,130.2,145.6,142.4,54.0,8.4,6.5,17.4,39.2,17.8,33.4,31.3,17.9,19.5,8.4,9.3,6.5,9.3,7.2,43.1,37.3,33.6,54.9,129.5,16.1,12.0,23.2,22.2,47.9,9.7,11.8,36.1,94.8,49.5,50.9,70.5,30.7,39.2,23.0,59.22166666666667,80.326744958871,80.326744958871
1990,182.5,209.6,152.1,138.5,202.5,51.0,85.7,62.3,80.8,127.6,63.0,35.7,45.5,80.4,144.8,8.2,11.2,19.1,28.8,30.4,56.1,146.0,126.5,138.4,139.7,53.7,7.7,6.3,16.6,37.1,17.3,31.0,27.9,18.4,19.3,8.2,8.7,6.3,8.9,7.0,39.0,36.0,31.9,53.7,125.4,15.2,11.5,23.0,20.8,44.3,9.2,11.2,35.5,91.1,47.7,49.5,67.1,29.8,38.1,22.2,57.383333333333326,78.76497478300355,78.76497478300355
1991,178.4,209.1,161.3,136.5,197.5,50.4,81.4,61.0,77.3,123.5,60.2,34.4,43.8,76.8,140.7,8.0,10.9,17.6,28.3,29.7,52.8,139.7,122.9,131.3,137.0,53.2,7.0,6.2,15.8,35.1,16.6,29.2,25.5,18.8,19.3,7.8,7.9,6.1,8.4,6.6,35.3,34.8,30.4,52.7,121.7,14.4,11.0,22.7,19.4,40.9,8.7,10.6,34.8,87.5,45.9,48.2,63.8,28.9,37.1,21.4,55.73666666666667,77.18758376126236,77.18758376126236
1992,174.3,208.3,174.2,136.0,192.1,50.0,77.3,60.2,74.0,120.2,57.2,33.3,42.3,73.4,136.4,7.7,10.5,16.2,27.6,29.1,49.8,133.4,119.5,124.4,134.1,52.2,6.3,6.1,15.1,33.1,15.6,28.5,24.3,19.1,19.5,7.5,7.2,5.9,7.9,6.2,32.0,33.7,29.0,51.7,118.5,13.7,10.4,22.1,18.2,37.9,8.2,10.0,34.1,84.2,44.3,47.2,60.7,28.0,36.2,20.6,54.2783333333333,75.48785285844299,75.48785285844299
1993,170.5,207.2,189.8,136.4,186.0,49.5,73.1,60.0,70.9,117.9,54.1,32.1,40.8,70.2,132.2,7.4,10.1,15.0,26.6,28.6,47.3,127.1,116.1,117.8,131.1,50.9,5.8,6.0,14.4,31.3,14.4,28.2,23.3,19.2,19.7,7.1,6.6,5.6,7.4,5.7,29.0,32.7,27.6,50.8,115.6,13.1,9.8,21.1,17.1,35.2,7.7,9.5,33.3,81.2,43.0,46.3,57.7,27.0,35.2,20.0,52.93833333333331,73.68815290590094,73.68815290590094
1994,167.3,205.9,385.5,137.4,179.6,48.9,68.8,60.4,67.9,116.1,51.0,31.0,39.5,67.2,127.9,7.2,9.8,13.9,25.4,28.3,45.0,120.9,112.8,111.5,127.9,49.3,5.4,5.9,13.9,29.6,13.4,27.8,21.7,19.3,20.1,6.7,6.1,5.4,6.9,5.2,26.4,31.7,26.4,49.9,113.1,12.6,9.2,19.7,16.1,32.8,7.3,9.1,32.4,78.6,42.0,45.4,54.9,26.1,34.3,19.4,54.68666666666669,72.10687025381193,72.10687025381193
