year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,"Egypt, Arab Rep.",South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,"Yemen, Rep.",United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Fed. Sts.",Nauru,Samoa,Solomon Islands,Tonga,global_education
1985,6.21999979019165,43.2999992370605,2.9658823854783023,4.59999990463257,4.6399998664856,10.23300017416478,11.0900001525879,27.75,9.788484784059762,21.450000166893027,17.72904804774694,37.6199989318848,19.61500034332274,9.246666908264167,6.377142974308558,78.21799926757816,92.68923011192912,38.64666620890302,30.61363636363639,38.3399991989136,38.01499938964845,7.965999984741212,10.470856913204855,3.5320000648498517,6.004999876022342,19.038333574930785,38.269999504089355,98.2099990844727,24.367499887943243,11.533750156561531,85.63428715297152,63.8699989318848,46.5499992370605,49.1599998474121,59.92322614116056,29.832413245891733,99.7900009155273,95.0999984741211,96.4700012207031,62.62428719656807,32.75,55.3199996948242,28.56351424552301,22.9286041259766,14.2275915145874,35.74000040690107,49.14952323550265,27.32400059700016,37.4000015258789,31.7900009155273,77.5018185702237,57.42999954223634,96.8899993896484,20.882380433984704,91.6399993896484,76.1502532958984,96.8249053955078,46.871293921219674,38.1591262817383,52.6699981689453,28.108511736666134
1986,6.21999979019165,43.2999992370605,3.2052941602819125,4.59999990463257,4.6399998664856,10.907500185072433,11.0900001525879,29.366250038146976,10.33766227544742,22.40000019073489,19.012857573372987,37.6199989318848,20.40000038146972,9.575555801391609,6.389523914882115,79.2099990844727,92.54153794508716,40.51888868543839,31.556363712657607,39.6919990539551,39.29599914550782,8.84500002861023,11.178571174884668,4.067500084638592,6.263749897480015,20.66111140780974,39.821999359130864,98.2099990844727,26.164999842643713,12.502500176429743,85.51714433942522,63.8699989318848,46.5499992370605,49.1599998474121,61.52677462177894,32.55689607817554,99.7900009155273,95.0999984741211,96.4700012207031,63.6500015258789,32.75,55.3199996948242,29.68108184917555,22.9286041259766,14.2275915145874,37.4960004170736,51.574285234723725,28.720000624656713,37.4000015258789,31.7900009155273,78.10909132523967,57.9349994659424,96.8899993896484,22.922720509606435,91.6399993896484,76.1502532958984,96.8249053955078,48.211617821141296,38.1591262817383,52.6699981689453,28.907856923451554
1987,6.21999979019165,43.2999992370605,3.4447059350855227,4.59999990463257,4.6399998664856,11.582000195980084,14.49500007629395,30.98250007629395,10.886839766835076,23.350000214576745,20.29666709899903,37.6199989318848,21.185000419616703,9.904444694519052,6.401904855455671,80.03799896240238,92.39384577824522,42.39111116197376,32.499091061678826,41.0439989089966,40.57699890136719,9.724000072479248,11.886285436564483,4.603000104427333,6.522499918937688,22.283889240688705,41.37399921417237,98.2099990844727,27.962499797344183,13.47125019629796,85.40000152587889,63.8699989318848,46.5499992370605,49.1599998474121,63.13032310239733,35.281378910459345,99.7900009155273,95.0999984741211,96.4700012207031,65.1100006103516,32.75,55.3199996948242,30.79864945282809,22.9286041259766,14.2275915145874,39.25200042724613,53.9990472339448,30.11600065231327,38.58889028761121,31.7900009155273,78.71636408025566,58.43999938964846,96.8899993896484,24.96306058522817,91.6399993896484,76.1502532958984,96.8249053955078,49.55194172106292,38.1591262817383,54.65099868774413,29.70469325068988
1988,6.21999979019165,43.2999992370605,3.684117709889133,4.59999990463257,4.6399998664856,12.256500206887733,17.9,32.598750114440925,11.436017258222732,24.3000002384186,21.58047662462508,37.6199989318848,21.97000045776368,10.233333587646491,6.414285796029227,80.86599884033205,92.24615361140329,44.26333363850913,33.441818410700044,42.3959987640381,41.85799865722656,10.603000116348266,12.593999698244296,5.1385001242160735,6.781249940395361,23.906667073567665,42.92599906921389,98.2099990844727,29.75999975204465,14.440000216166172,85.28285871233258,63.8699989318848,46.5499992370605,49.1599998474121,64.73387158301571,38.00586174274315,99.7900009155273,95.0999984741211,96.4700012207031,66.7099990844727,32.75,55.3199996948242,31.916217056480633,22.9286041259766,14.2275915145874,41.00800043741865,56.42380923316587,31.51200067996983,39.77777904934352,31.7900009155273,79.32363683527164,58.94499931335452,96.8899993896484,27.003400660849906,91.6399993896484,76.1502532958984,96.8249053955078,50.89226562098453,38.1591262817383,56.63199920654296,30.503022665977735
1989,6.21999979019165,43.2999992370605,3.923529484692743,4.59999990463257,4.6399998664856,12.931000217795384,21.30499992370605,34.2150001525879,11.98519474961039,25.25000026226046,22.86428615025113,37.6199989318848,22.75500049591066,10.562222480773936,6.426666736602783,81.69399871826174,92.09846144456134,46.13555611504451,34.38454575972126,43.7479986190796,43.13899841308593,11.482000160217284,13.301713959924111,5.674000144004814,7.0399999618530344,25.529444906446628,44.477998924255395,98.2099990844727,31.55749970674512,15.408750236034388,85.16571589878627,63.8699989318848,46.5499992370605,49.1599998474121,66.3374200636341,40.73034457502696,99.7900009155273,95.0999984741211,96.4700012207031,68.1699981689453,32.75,55.3199996948242,33.03378466013317,22.9286041259766,14.2275915145874,42.76400044759118,58.84857123238695,32.908000707626385,40.96666781107583,31.7900009155273,79.93090959028761,59.44999923706058,96.8899993896484,29.043740736471637,91.6399993896484,76.1502532958984,96.8249053955078,52.23258952090615,38.1591262817383,58.61299972534179,31.306007916700608
1990,6.21999979019165,43.2999992370605,4.162941259496353,4.59999990463257,4.6399998664856,13.605500228703034,24.7099998474121,35.83125019073488,12.534372240998046,26.20000028610232,24.148095675877176,37.6199989318848,23.54000053405764,10.891111373901378,6.439047677176339,82.52199859619141,91.9507692777194,48.00777859157988,35.32727310874248,45.0999984741211,44.4199981689453,12.361000204086302,14.009428221603924,6.209500163793555,7.298749983310707,27.152222739325587,46.0299987792969,98.2099990844727,33.35499966144559,16.377500255902603,85.04857308523995,63.8699989318848,46.5499992370605,49.1599998474121,67.94096854425248,43.454827407310766,99.7900009155273,95.0999984741211,96.4700012207031,70.1600036621094,32.75,55.3199996948242,34.15135226378571,22.9286041259766,14.2275915145874,44.52000045776371,61.27333323160803,34.30400073528295,42.155556572808145,31.7900009155273,80.5381823453036,59.95499916076664,96.8899993896484,31.08408081209337,91.6399993896484,76.1502532958984,96.8249053955078,53.57291342082777,38.1591262817383,60.59400024414062,32.11847279483452
1991,6.21999979019165,43.2999992370605,4.402353034299964,4.59999990463257,4.6399998664856,14.280000239610684,28.11499977111815,37.44750022888185,13.083549732385702,27.15000030994418,25.431905201503223,37.6199989318848,24.325000572204623,11.22000026702882,6.451428617749896,83.3499984741211,91.80307711087744,49.88000106811525,36.2700004577637,45.93799858093262,45.01299819946288,13.24000024795532,14.717142483283736,6.745000183582295,7.55750000476838,28.775000572204547,47.39399871826174,98.2099990844727,35.15249961614606,17.346250275770817,84.93143027169364,63.8699989318848,46.5499992370605,49.1599998474121,69.54451702487087,46.17931023959457,99.7900009155273,95.0999984741211,96.4700012207031,71.6399993896484,32.75,55.3199996948242,35.26891986743826,22.9286041259766,14.2275915145874,46.27600046793623,63.69809523082911,35.7000007629395,43.34444533454045,31.7900009155273,81.14545510031958,60.4599990844727,96.8899993896484,33.124420887715104,91.6399993896484,76.1502532958984,96.8249053955078,54.91323732074939,38.1591262817383,62.575000762939446,32.92688048872548
1992,6.29999980059537,43.2999992370605,4.641764809103575,4.59999990463257,4.6399998664856,14.954500250518336,31.5199996948242,39.06375026702882,13.632727223773358,28.10000033378604,26.71571472712927,37.6199989318848,25.1100006103516,11.548889160156262,6.463809558323452,83.83332302695827,91.6553849440355,51.75222354465062,37.25300025939944,46.77599868774414,45.60599822998046,14.11900029182434,15.424856744963552,7.2805002033710355,7.816250026226053,30.39777840508351,48.75799865722658,98.2099990844727,36.94999957084653,18.31500029563903,84.81428745814732,63.8699989318848,46.5499992370605,49.1599998474121,71.14806550548924,48.90379307187838,99.7900009155273,95.0999984741211,96.7200012207031,74.0899963378906,32.75,55.3199996948242,36.3864874710908,22.9286041259766,14.2275915145874,48.03200047810875,66.12285723005019,37.8250007629395,44.53333409627277,31.7900009155273,81.75272785533555,61.19303363302484,96.8899993896484,35.16476096333684,91.6399993896484,76.1502532958984,96.8249053955078,56.25356122067101,38.1591262817383,64.55600128173828,33.74022591968414
1993,6.379999810999091,43.2999992370605,4.881176583907185,4.59999990463257,4.6399998664856,15.629000261425986,34.92499961853025,40.680000305175795,14.181904715161014,29.050000357627894,27.99952425275532,37.6199989318848,25.420000500149236,11.877778053283704,6.476190498897008,84.31664757979543,91.50769277719355,53.62444602118599,38.23600006103518,47.61399879455566,46.19899826049804,14.998000335693357,16.132571006643367,7.816000223159776,8.075000047683726,32.020556237962474,50.121998596191425,98.2099990844727,38.74749952554699,19.283750315507245,84.69714464460101,64.9139987945557,46.5499992370605,53.13888888888888,72.75161398610763,51.62827590416219,99.7900009155273,95.0999984741211,96.9700012207031,75.8399963378906,32.75,55.3199996948242,37.504055074743334,22.9286041259766,14.2275915145874,49.78800048828128,68.54761922927126,39.9500007629395,45.722222858005075,31.7900009155273,82.36000061035153,61.92606818157698,96.8899993896484,37.205101038958574,91.6399993896484,76.1502532958984,96.8249053955078,57.593885120592624,38.1591262817383,66.5370018005371,34.56333857619985
1994,6.4599998214028105,43.2999992370605,5.120588358710795,4.59999990463257,4.6399998664856,16.303500272333636,38.3299995422363,42.296250343322775,14.731082206548672,30.000000381469757,29.28333377838137,37.6199989318848,25.730000389946863,12.206666946411149,6.488571439470564,84.7999721326326,91.3600006103516,55.496668497721366,39.21899986267092,48.45199890136718,46.79199829101562,15.877000379562372,16.84028526832318,8.351500242948516,8.333750069141399,33.64333407084143,51.48599853515626,98.2099990844727,40.54499948024746,20.25250033537546,84.5800018310547,65.9579986572266,46.5499992370605,57.117777930365655,74.35516246672601,54.35275873644599,99.7900009155273,95.0999984741211,97.2200012207031,77.1399993896484,32.75,55.3199996948242,38.62162267839587,22.9286041259766,14.2275915145874,51.54400049845381,70.97238122849234,42.0750007629395,46.91111161973738,31.7900009155273,82.96727336536752,62.65910273012911,96.8899993896484,39.2454411145803,91.6399993896484,76.1502532958984,96.8249053955078,58.934209020514245,38.1591262817383,68.51800231933593,35.3883773067605
