year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,Egypt,South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,Yemen,United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Samoa,Solomon Islands,Tonga,gdp_per_person
1985,234.276502777526,868.640540548893,271.578979038705,571.417166069201,243.897382584019,2632.51711109075,769.755137148666,1839.4841908184,673.2900390625,329.714604937014,1556.1297180511,1192.21877479377,934.991981806694,1238.47545209176,324.575156092964,14170.1249406067,18236.8277265009,1429.38850950802,2905.77565536137,2972.18070666064,633.211065310196,222.22018039634,300.928258576378,149.900453418882,317.063499386432,294.45884850496,7001.7667477117,11809.4603450715,2045.57471772113,773.823923674613,2013.43352195314,1658.75873899995,2349.40645150289,1914.55064658793,1244.04125976563,17152.0948495991,15753.5527652129,12361.1870365183,12212.7873997293,13647.2005587291,7548.69588410284,1797.02877146361,959.153901867443,3087.66394151806,910.422465960748,29467.5419758929,6816.3848781637,9648.65643032674,16815.0419632835,12745.41992535,11441.5819707185,7600.56524172937,3728.1295295149,392.905065394709,1162.01901432695,1136.27633295061,4858.93351745825,572.806387713236,586.02235220521,612.943575629463,2597.13850119074
1986,253.643058810817,628.248453718536,297.725981822308,783.940524706279,245.977228769295,2800.20270812187,790.201793698565,2027.4662038189,855.169311523438,410.711658388611,1854.03775211919,1169.46212069392,1031.15623781062,896.063263473632,366.997344256492,14521.1800806,19071.2271949295,1501.09140673487,3436.07819471053,3019.48150533575,600.002843935462,212.14899385306,314.897116402542,159.545682806044,313.946324043906,281.928120911563,6799.93036332671,17451.8349394142,1759.73185736702,842.098436226451,2323.23864322732,1658.75873899995,2349.40645150289,2260.4272811545,1244.04125976563,24459.8536348433,18883.2333523873,16406.04794507,17136.6297376226,17955.1571459902,5181.87980290561,2200.10278230881,959.153901867443,2940.40623181091,910.422465960748,23132.0739675988,8320.4734890676,7776.95657736318,13213.2093617769,10078.2896080512,11392.0043948477,9427.55394035348,4143.56203650884,381.918758641144,1425.16418062414,1216.15763119676,4568.67887653491,604.257418815764,505.821806525665,695.805077185729,2892.2127049568517
1987,392.97074320479,587.956613434089,319.643663252334,916.09484148409,254.121329421554,2847.0776691988,753.722263747615,2586.27423314228,937.457153320313,355.153724919203,2006.00226235757,1192.58828638182,1068.95380287336,853.903772501246,317.635520687503,16377.6902109541,20038.9410992658,1739.67699102776,3477.30131979313,2966.00967866653,649.812857590607,231.499584520483,344.941028293075,162.036906898913,317.23867416111,251.811956961329,7539.02930212443,21141.7183951789,1977.1290866202,970.452522513385,2557.60366681372,1658.75873899995,2349.40645150289,3132.30136036246,1244.04125976563,30440.5108240499,22505.8622623684,22453.1882283809,21295.6768566078,21761.2144545083,5203.99994065839,2216.87045179385,959.153901867443,3436.4763126353,910.422465960748,23112.623420646,9835.69004057827,8332.91425406054,13718.7911520477,9385.98469519899,11651.3301169821,12330.9168305483,4616.29028882378,423.822473332128,1542.64230430097,1230.44156720509,4484.50814586951,666.308337309081,514.6693332731,830.153019585043,3143.610252844311
1988,395.187660960924,539.539468397166,343.781325819105,880.487755138196,253.248262470167,2450.87242078961,633.839369496566,2702.05504774508,1086.03527832031,355.121844932881,2140.65027561164,1259.6174112078,1113.89406863138,919.070773138882,397.365336276412,19012.5723278349,21417.0119305191,2003.36350407516,3992.70330179156,2508.78229277879,722.343718454247,247.901465967332,358.484539641693,187.084777621975,353.85454278549,283.537695240524,8914.44122574729,25499.8811728107,2099.95467656701,1164.20096229495,2803.06398657229,1753.19285632198,2349.40645150289,2511.39306259489,1444.248046875,32690.4302734561,24207.281468963,24451.9733172334,22524.5792595476,24499.4053182958,5279.10411437183,1965.98031813995,959.153901867443,3707.20841763297,910.422465960748,21569.7068852997,11831.6680266533,8771.7853534009,14682.0218472004,9165.49615323397,14284.960791833,13759.1556295922,5145.00614544213,535.915134580045,1670.28189314997,1284.2827275817,5011.58031484611,790.134992313838,567.022935580171,1077.6835915018,3453.2462659582866
1989,310.186025249445,465.488089532188,334.741963422255,848.555548058968,256.386475306315,2247.4602712492,701.037717929191,2726.70980679488,1091.27624511719,349.964941914982,2818.99277980122,1244.3269459081,1211.29634333964,958.427471156263,407.498708064211,20794.682233334,22857.1544330056,2265.35937681769,2374.57321551641,2462.11022455924,791.864324425833,263.005720827547,349.915155021864,184.975416457251,357.595796105007,310.8819124049,10394.5389962406,25265.9487590208,2243.60219599914,1341.72978395303,2892.96729614731,1789.64455528113,2349.40645150289,2477.0208179596,1593.07861328125,31308.6508343136,24281.1304051396,22434.3467683494,21882.1517463842,25625.3103686166,5591.22723847558,1260.2518650001,771.001121245521,3791.17027583399,910.422465960748,23166.7305903787,11586.8023266158,8833.41134256929,15242.5068904961,9413.58119352769,17834.4526910252,13312.3855858113,5741.0868517899,514.652948165033,1670.21520671775,1365.61518337828,5722.7674219742,728.151128858805,538.101762870503,1069.83546760253,3576.3897333201417
1990,244.987168126806,556.376449130902,345.773495134655,957.314337438177,262.108971053707,2445.18332740258,735.982935028025,3093.48920352334,1229.07104492188,382.54246368354,3117.73534721624,1474.8455285342,1440.15829610029,847.688561830359,451.720249689216,21525.8611387148,23888.6000088133,2466.13014237644,4315.33329358672,2620.13827266274,803.572588255813,283.053737055234,371.085936203765,185.794600449903,344.45547384189,317.884673040928,11861.7561591366,25801.3950393094,2468.69080320116,1559.11209344755,3312.69823800526,1648.48522974542,2349.40645150289,2366.52982128614,1563.63415527344,39574.5398083788,28242.981402822,25384.9150226302,26885.6994188191,30549.6692751763,7545.70305230441,1148.59005469899,789.526338484738,10261.4157706888,910.422465960748,26709.993440327,13284.3794576924,9342.53891401688,16721.6207714589,11054.7495049666,18249.3014538169,13663.0216184298,6402.929615309,488.067527876014,1758.40820990836,1459.04369201491,5775.55347423089,743.994213008355,648.325212624098,1139.0553819198,3785.919847537261
1991,182.955897348348,596.938795710722,253.966902025944,913.399575796737,277.565910365091,1759.11201648229,622.829605007867,3243.23616023953,1292.23376464844,418.254121349986,2257.6092968885,1499.71104164399,1685.26890082621,1014.40279682682,496.545987433864,21846.7930471354,24342.2589048189,2770.07964567151,5709.24784079504,2820.54547665418,804.323330530547,272.064948495878,305.574055928592,195.716621410462,380.019843346229,333.142145400184,14502.3799938606,29428.4289039469,2679.20101106745,1765.62267359529,3350.25832349229,1254.3124421298,2349.40645150289,1267.73437541485,1482.6396484375,39544.4946826768,28596.9330036444,26802.9895156678,27002.8057705804,31777.0327994132,6977.3285922345,1109.65564611997,1278.42125745633,22.9521327615352,1016.30223044813,25690.9686321448,14320.2831935277,10434.1323962786,15133.4969397069,11847.1699534218,18859.9074576986,12230.0734548834,6824.34353785065,540.125608893654,1810.63465589888,1617.45528154622,5333.37954889626,741.563963808482,665.833104132659,1323.40098550339,3846.4741287793404
1992,152.113542415537,508.515905682785,264.083914517464,951.204960087807,207.406400863847,1802.69300801289,680.79923864551,3462.39400202835,1327.02954101563,396.426407640517,2127.31642731638,1729.66397332384,1682.67444777611,1096.45976992698,316.276513134354,20950.3305287651,25418.9907763319,3309.39923858023,6789.99611136495,3139.89952899581,916.515694532029,273.465072520272,319.182472626315,165.02959412726,395.67720859593,366.460692306116,16136.2405377661,31992.7902119161,3141.43321987651,1971.60879910694,3735.10582034276,1102.10378473246,2349.40645150289,1211.98087810931,1413.24011230469,40713.6881521435,30523.9850558974,27124.2745379594,29579.4913648682,32753.8047025569,7317.78815838166,1286.6347360596,1559.38100628446,30.2539012636825,1198.13031674085,25648.2727760844,15482.1005731603,10460.1583222808,16280.2938815273,11730.2687665244,18624.1877335866,11793.1392416214,6552.7112389768,791.996422129169,1963.07234629646,1699.3301910196,5102.59685913907,776.740824409711,763.857968549522,1370.36142598699,4021.8937427953288
1993,165.616476211716,539.573202297542,247.023318476014,877.52900343803,168.520401400989,1831.04800976449,740.334217356418,3399.64009566241,1226.43054199219,359.800844097528,2348.88247685352,1930.05976548029,1661.70955306218,1165.67442716224,258.066372258817,20186.7988782965,26387.2937338171,3494.9946093213,6931.85596375876,3358.41411740053,918.642953796961,280.757274450366,302.884806246174,172.805202579767,407.888140688466,377.3898394789,18290.130113185,36345.2441262708,3461.99504214189,2245.13688708983,3873.98772279767,1158.05632799712,2349.40645150289,1278.52511370319,1254.02868652344,39237.1186558781,27963.6979095744,23579.7953612417,27581.7241097459,24390.1538004271,7038.9301587736,1289.4145431007,2078.63864215562,53.7437842348819,1396.61544419009,25032.7822702907,15151.5446328935,11151.871495742,14769.7193322522,10884.8607880777,17699.8764915704,13094.3454502639,5891.50378695334,747.753427083185,2112.01240099378,1853.06259690284,4310.24433298623,774.988631552282,828.869997791691,1383.47386584881,4189.762706502286
1994,198.441987998795,744.884247151377,110.953668251372,583.782776032181,127.685923459033,1525.54061760288,807.303537230487,3488.59711541763,1358.79443359375,320.50390343252,3298.71250747787,2325.97557339326,1760.28807083292,1292.67202750483,292.134224374091,19997.6237373354,27694.853416234,3981.39018913528,7437.56242327594,3508.19570069218,1059.9838951587,280.603031791216,347.73421473994,187.258176246151,399.955927561352,473.489916407064,21552.4100366948,39933.5150564874,3757.65292858601,2517.70732641683,4173.37302405441,1323.03237766927,2349.40645150289,1148.4943993817,1009.09356689453,43091.7770970073,29315.8092337732,24018.6313967189,29967.8303903163,26045.8148927701,7068.38996979073,1367.18721776691,2467.76942720577,198.182101881974,1735.04419543214,25472.6396578979,16776.6124890797,11629.3595219612,14764.8771355222,10601.9196697805,18129.6353064456,15280.3127842922,6329.06976744186,837.972073850342,2265.0695841717,1856.5207426083,3920.53972987914,1276.85021574897,1078.0410925874,1956.66161136786,4500.43282725855
