index,year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,Egypt,South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,Yemen,United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Samoa,Solomon Islands,Tonga,population_total
25,1985,15023681.0,84897973.0,6317228.0,6683287.0,39842136.0,22008544.0,50734968.0,35042093.0,22113953.0,13661229.0,135515595.0,29268470.0,3510671.0,7849693.0,6190862.0,25842116.0,237924000.0,12395274.0,30336441.0,2200915.0,55213006.0,100253825.0,772647793.0,17477692.0,98229285.0,1051040000.0,2735957.0,120837000.0,15252258.0,50270753.0,10648713.0,22732999.0,7835902.0,8960547.0,51108770.0,6470365.0,4152516.0,241405.0,5113691.0,8350386.0,1325480.0,2778810.0,3217376.0,15683430.0,11453825.0,1377911.0,4233000.0,430358.0,365940.0,8151779.0,15788312.0,3247100.0,13688.0,66496.0,37761.0,89707.0,8551.0,166849.0,282455.0,97984.0,3265750789.0
26,1986,15467579.0,87235953.0,6531881.0,6878192.0,41037656.0,22745499.0,52206295.0,36180515.0,22600803.0,13965217.0,138336370.0,29879112.0,3611474.0,8070818.0,6316122.0,26100278.0,240133000.0,12588914.0,30811980.0,2251325.0,56645077.0,102635572.0,790689978.0,17868124.0,101606764.0,1066790000.0,2733373.0,121482000.0,15760419.0,51177834.0,10630564.0,22836841.0,7853824.0,8958171.0,51318745.0,6504124.0,4167354.0,243180.0,5120534.0,8369829.0,1413419.0,2909887.0,3300365.0,16074145.0,11901040.0,1467383.0,4299000.0,446286.0,382422.0,8628639.0,16018350.0,3246300.0,14024.0,68059.0,39286.0,92266.0,8742.0,167061.0,291842.0,98010.0,3327209802.0
27,1987,15954170.0,89591716.0,6749493.0,7081530.0,42460039.0,23443624.0,53674435.0,37326190.0,23054392.0,14289108.0,141104944.0,30499467.0,3714889.0,8296485.0,6445123.0,26446601.0,242289000.0,12790150.0,31291762.0,2301970.0,58157496.0,104959291.0,808931270.0,18250505.0,105130717.0,1084035000.0,2774789.0,122069000.0,16276737.0,52074105.0,10612741.0,22949430.0,7868027.0,8971359.0,51515732.0,6545106.0,4186905.0,245859.0,5127024.0,8397804.0,1500996.0,3047634.0,3385555.0,16521049.0,12369912.0,1574244.0,4369000.0,462854.0,397005.0,9130194.0,16263874.0,3274400.0,14334.0,69733.0,40828.0,94844.0,8946.0,167661.0,301414.0,98376.0,3390978825.0
28,1988,16470483.0,92020090.0,6968071.0,7289618.0,44150825.0,24109536.0,55187681.0,38480649.0,23500524.0,14636568.0,143826357.0,31130524.0,3820546.0,8532099.0,6578145.0,26791747.0,244499000.0,12999424.0,31780532.0,2352848.0,59739052.0,107216008.0,827342990.0,18638661.0,108724739.0,1101630000.0,2846108.0,122578000.0,16796605.0,52969595.0,10596487.0,23057662.0,7884218.0,8981446.0,51724853.0,6593386.0,4209488.0,249740.0,5129516.0,8436489.0,1588568.0,3193039.0,3454649.0,16908819.0,12859708.0,1681788.0,4442000.0,479929.0,411264.0,9629165.0,16532164.0,3283400.0,14645.0,71427.0,42321.0,97097.0,9165.0,168346.0,311265.0,98969.0,3455750026.0
29,1989,17010698.0,94531014.0,7184706.0,7502207.0,45879690.0,24754485.0,56710642.0,39628575.0,23939414.0,15006813.0,146502972.0,31776279.0,3927802.0,8775546.0,6714730.0,27276781.0,246819000.0,13215005.0,32270948.0,2403820.0,61265260.0,109433799.0,846039529.0,19057807.0,112336629.0,1118650000.0,2930901.0,123069000.0,17314997.0,53848956.0,10481719.0,23161458.0,7893787.0,8876972.0,51917817.0,6646912.0,4226901.0,252852.0,5132594.0,8492964.0,1676228.0,3349627.0,3525285.0,17364542.0,13364174.0,1789851.0,4518000.0,497327.0,425646.0,10128394.0,16814416.0,3299200.0,14945.0,73147.0,43586.0,99003.0,9390.0,168768.0,321282.0,99403.0,3520446184.0
30,1990,17569897.0,97120925.0,7375307.0,7720523.0,47609755.0,25375810.0,58396618.0,40746268.0,24375551.0,15394648.0,149143223.0,32440069.0,4035747.0,9024773.0,6854441.0,27691138.0,249623000.0,13437176.0,32755901.0,2455583.0,62854666.0,111633717.0,864972221.0,19524573.0,116155576.0,1135185000.0,3047132.0,123478000.0,17833171.0,54738329.0,10373988.0,23201835.0,7897937.0,8718289.0,52054092.0,6715519.0,4241473.0,254826.0,5140939.0,8558835.0,1763954.0,3621908.0,3595175.0,17581206.0,13887862.0,1898220.0,4660000.0,514797.0,440175.0,10640691.0,17065128.0,3329800.0,15259.0,74855.0,44629.0,100888.0,9622.0,169042.0,331435.0,99700.0,3585572807.0
31,1991,18155901.0,99720162.0,7526966.0,7943085.0,49717198.0,25987928.0,60028997.0,41687898.0,24799014.0,15787496.0,151724256.0,33098372.0,4144364.0,9272584.0,6995450.0,28037420.0,252981000.0,13662491.0,33230294.0,2508265.0,64382249.0,113787109.0,883927600.0,20036500.0,120060406.0,1150780000.0,3135083.0,123964000.0,18342464.0,55637434.0,10373400.0,23001155.0,7595636.0,8632367.0,52170961.0,6799978.0,4261732.0,257797.0,5154298.0,8617375.0,1851473.0,3915149.0,3668912.0,17767253.0,14430201.0,2006626.0,4949000.0,503052.0,454853.0,11160744.0,17284036.0,3495100.0,15614.0,76367.0,45568.0,102754.0,9850.0,169368.0,341738.0,99895.0,3650276229.0
32,1992,18785032.0,102372770.0,7683266.0,8168395.0,51853747.0,26628568.0,61480660.0,42443509.0,25212468.0,16184855.0,154275079.0,33760571.0,4253600.0,9522266.0,7136571.0,28371264.0,256514000.0,13884577.0,33693527.0,2561336.0,65926125.0,115952192.0,902957070.0,20609707.0,123546848.0,1164970000.0,3230698.0,124425000.0,18834572.0,56528834.0,10369341.0,22794284.0,7604063.0,8540164.0,52323671.0,6875364.0,4286401.0,261057.0,5171370.0,8668067.0,1938238.0,4127693.0,3747371.0,18300845.0,14989494.0,2114730.0,5123000.0,516458.0,469657.0,11686676.0,17478635.0,3531700.0,15989.0,77641.0,46388.0,104806.0,10021.0,170331.0,352205.0,100022.0,3713564781.0
33,1993,19445161.0,105122069.0,7981132.0,8396288.0,53708891.0,27277048.0,62915681.0,43297156.0,25614586.0,16589519.0,156794577.0,34441473.0,4362696.0,9779761.0,7278181.0,28684764.0,259919000.0,14102276.0,34152717.0,2615099.0,67530621.0,118132360.0,922118387.0,21180159.0,127020117.0,1178440000.0,3313471.0,124829000.0,19322664.0,57408198.0,10357523.0,22763280.0,7614328.0,8472313.0,52350126.0,6938265.0,4311991.0,263725.0,5188628.0,8718561.0,2021675.0,4348020.0,3820647.0,19201195.0,15563914.0,2222093.0,5261000.0,530225.0,484545.0,12215862.0,17634808.0,3572200.0,16372.0,78841.0,47093.0,107066.0,10102.0,171774.0,362839.0,100103.0,3776524159.0
34,1994,20108801.0,107935714.0,6792352.0,8624078.0,55611508.0,27887279.0,64285589.0,44004139.0,26000822.0,16993190.0,159265006.0,35127410.0,4471417.0,10043718.0,7419771.0,29000663.0,263126000.0,14316256.0,34613491.0,2669546.0,69019291.0,120343179.0,941163767.0,21717479.0,130748083.0,1191835000.0,3419048.0,125178000.0,19820446.0,58260854.0,10343355.0,22730211.0,7622711.0,8443591.0,52075998.0,6993795.0,4336613.0,266021.0,5206180.0,8780745.0,2081834.0,4561406.0,3889799.0,20139807.0,16149147.0,2328188.0,5399000.0,544366.0,499459.0,12750040.0,17805468.0,3620000.0,16770.0,80021.0,47712.0,109075.0,10137.0,173159.0,373675.0,100166.0,3837282340.0
35,1995,20665667.0,110819428.0,5674118.0,8848101.0,57537335.0,28470191.0,65652622.0,44541554.0,26399429.0,17399017.0,161735073.0,35804662.0,4579806.0,10312996.0,7562546.0,29302311.0,266278000.0,14527381.0,35070020.0,2724557.0,70546246.0,122600370.0,960301044.0,22245439.0,134582253.0,1204855000.0,3524506.0,125472000.0,20330599.0,59098232.0,10328965.0,22684270.0,7628264.0,8406067.0,51665539.0,7040687.0,4359184.0,267468.0,5233373.0,8826939.0,2120528.0,4752096.0,3960735.0,20825860.0,16740058.0,2434662.0,5545000.0,558879.0,514325.0,13289245.0,18004882.0,3673400.0,17195.0,81234.0,48266.0,110230.0,10165.0,174571.0,384733.0,100225.0,3897249543.0
36,1996,21231550.0,113754779.0,6708764.0,9067014.0,59467635.0,29033044.0,67028048.0,45123018.0,26808107.0,17810181.0,164202549.0,36462745.0,4687543.0,10583526.0,7707557.0,29610218.0,269394000.0,14734046.0,35513793.0,2780227.0,72190242.0,124862179.0,979678458.0,22741862.0,138557092.0,1217550000.0,3670704.0,125757000.0,20850087.0,59920064.0,10311238.0,22619004.0,7622185.0,8362826.0,51226109.0,7071850.0,4381336.0,268916.0,5263074.0,8840998.0,2156926.0,4912516.0,4034781.0,21501321.0,17313177.0,2597564.0,5692000.0,573792.0,529019.0,13831009.0,18224767.0,3732000.0,17654.0,82623.0,48775.0,110710.0,10183.0,176071.0,396009.0,100275.0,3959496736.0
