year,country,fertility_rate
1985,Uganda,7.035
1986,Uganda,7.081
1987,Uganda,7.119
1988,Uganda,7.105
1989,Uganda,7.072
1990,Uganda,7.037
1991,Uganda,6.983
1992,Uganda,6.96
1993,Uganda,6.932
1994,Uganda,6.928
1995,Uganda,6.917
1996,Uganda,6.894
1997,Uganda,6.906
1998,Uganda,6.887
1999,Uganda,6.875
2000,Uganda,6.832
2001,Uganda,6.81
2002,Uganda,6.779
2003,Uganda,6.702
2004,Uganda,6.653
2005,Uganda,6.572
2006,Uganda,6.481
2007,Uganda,6.379
2008,Uganda,6.251
2009,Uganda,6.174
2010,Uganda,6.071
2011,Uganda,5.935
2012,Uganda,5.784
2013,Uganda,5.618
2014,Uganda,5.463
2015,Uganda,5.306
2016,Uganda,5.174
2017,Uganda,5.052
2018,Uganda,4.932
2019,Uganda,4.809
2020,Uganda,4.693
2021,Uganda,4.585
2022,Uganda,4.468
2023,Uganda,4.468
1985,Nigeria,6.616
1986,Nigeria,6.557
1987,Nigeria,6.504
1988,Nigeria,6.498
1989,Nigeria,6.494
1990,Nigeria,6.459
1991,Nigeria,6.426
1992,Nigeria,6.391
1993,Nigeria,6.354
1994,Nigeria,6.319
1995,Nigeria,6.273
1996,Nigeria,6.217
1997,Nigeria,6.138
1998,Nigeria,6.069
1999,Nigeria,6.082
2000,Nigeria,6.124
2001,Nigeria,6.139
2002,Nigeria,6.135
2003,Nigeria,6.116
2004,Nigeria,6.085
2005,Nigeria,6.068
2006,Nigeria,6.081
2007,Nigeria,6.08
2008,Nigeria,6.078
2009,Nigeria,6.039
2010,Nigeria,5.98
2011,Nigeria,5.918
2012,Nigeria,5.832
2013,Nigeria,5.738
2014,Nigeria,5.664
2015,Nigeria,5.616
2016,Nigeria,5.584
2017,Nigeria,5.523
2018,Nigeria,5.447
2019,Nigeria,5.379
2020,Nigeria,5.309
2021,Nigeria,5.237
2022,Nigeria,5.143
2023,Nigeria,5.143
1985,Rwanda,7.725
1986,Rwanda,7.559
1987,Rwanda,7.39
1988,Rwanda,7.227
1989,Rwanda,7.058
1990,Rwanda,6.873
1991,Rwanda,6.705
1992,Rwanda,6.607
1993,Rwanda,6.51
1994,Rwanda,6.408
1995,Rwanda,6.324
1996,Rwanda,6.251
1997,Rwanda,6.176
1998,Rwanda,6.116
1999,Rwanda,6.013
2000,Rwanda,5.924
2001,Rwanda,5.844
2002,Rwanda,5.752
2003,Rwanda,5.674
2004,Rwanda,5.573
2005,Rwanda,5.436
2006,Rwanda,5.28
2007,Rwanda,5.1
2008,Rwanda,4.901
2009,Rwanda,4.716
2010,Rwanda,4.532
2011,Rwanda,4.357
2012,Rwanda,4.233
2013,Rwanda,4.159
2014,Rwanda,4.112
2015,Rwanda,4.081
2016,Rwanda,4.06
2017,Rwanda,4.027
2018,Rwanda,3.994
2019,Rwanda,3.939
2020,Rwanda,3.873
2021,Rwanda,3.821
2022,Rwanda,3.749
2023,Rwanda,3.749
1985,Senegal,7.013
1986,Senegal,6.902
1987,Senegal,6.785
1988,Senegal,6.577
1989,Senegal,6.479
1990,Senegal,6.396
1991,Senegal,6.267
1992,Senegal,6.149
1993,Senegal,6.049
1994,Senegal,5.915
1995,Senegal,5.819
1996,Senegal,5.723
1997,Senegal,5.639
1998,Senegal,5.581
1999,Senegal,5.573
2000,Senegal,5.498
2001,Senegal,5.412
2002,Senegal,5.311
2003,Senegal,5.252
2004,Senegal,5.184
2005,Senegal,5.186
2006,Senegal,5.198
2007,Senegal,5.11
2008,Senegal,5.051
2009,Senegal,5.081
2010,Senegal,5.064
2011,Senegal,5.039
2012,Senegal,5.005
2013,Senegal,4.96
2014,Senegal,4.905
2015,Senegal,4.781
2016,Senegal,4.683
2017,Senegal,4.622
2018,Senegal,4.584
2019,Senegal,4.517
2020,Senegal,4.454
2021,Senegal,4.387
2022,Senegal,4.314
2023,Senegal,4.314
1985,Ethiopia,7.378
1986,Ethiopia,7.359
1987,Ethiopia,7.338
1988,Ethiopia,7.303
1989,Ethiopia,7.271
1990,Ethiopia,7.238
1991,Ethiopia,7.207
1992,Ethiopia,7.157
1993,Ethiopia,7.125
1994,Ethiopia,7.076
1995,Ethiopia,7.008
1996,Ethiopia,6.923
1997,Ethiopia,6.85
1998,Ethiopia,6.753
1999,Ethiopia,6.646
2000,Ethiopia,6.56
2001,Ethiopia,6.463
2002,Ethiopia,6.374
2003,Ethiopia,6.24
2004,Ethiopia,6.107
2005,Ethiopia,5.973
2006,Ethiopia,5.853
2007,Ethiopia,5.74
2008,Ethiopia,5.571
2009,Ethiopia,5.39
2010,Ethiopia,5.217
2011,Ethiopia,5.05
2012,Ethiopia,4.883
2013,Ethiopia,4.724
2014,Ethiopia,4.609
2015,Ethiopia,4.531
2016,Ethiopia,4.469
2017,Ethiopia,4.39
2018,Ethiopia,4.343
2019,Ethiopia,4.323
2020,Ethiopia,4.243
2021,Ethiopia,4.159
2022,Ethiopia,4.063
2023,Ethiopia,4.063
1985,Algeria,5.975
1986,Algeria,5.625
1987,Algeria,5.327
1988,Algeria,5.059
1989,Algeria,4.826
1990,Algeria,4.556
1991,Algeria,4.386
1992,Algeria,4.257
1993,Algeria,4.059
1994,Algeria,3.846
1995,Algeria,3.456
1996,Algeria,3.136
1997,Algeria,2.897
1998,Algeria,2.712
1999,Algeria,2.624
2000,Algeria,2.566
2001,Algeria,2.507
2002,Algeria,2.456
2003,Algeria,2.481
2004,Algeria,2.512
2005,Algeria,2.555
2006,Algeria,2.604
2007,Algeria,2.677
2008,Algeria,2.753
2009,Algeria,2.813
2010,Algeria,2.843
2011,Algeria,2.88
2012,Algeria,2.956
2013,Algeria,2.957
2014,Algeria,3.004
2015,Algeria,3.041
2016,Algeria,3.051
2017,Algeria,3.05
2018,Algeria,3.023
2019,Algeria,2.988
2020,Algeria,2.942
2021,Algeria,2.889
2022,Algeria,2.829
2023,Algeria,2.829
1985,"Egypt, Arab Rep.",5.16
1986,"Egypt, Arab Rep.",5.07
1987,"Egypt, Arab Rep.",4.989
1988,"Egypt, Arab Rep.",4.871
1989,"Egypt, Arab Rep.",4.685
1990,"Egypt, Arab Rep.",4.484
1991,"Egypt, Arab Rep.",4.304
1992,"Egypt, Arab Rep.",4.253
1993,"Egypt, Arab Rep.",4.103
1994,"Egypt, Arab Rep.",3.967
1995,"Egypt, Arab Rep.",3.844
1996,"Egypt, Arab Rep.",3.733
1997,"Egypt, Arab Rep.",3.654
1998,"Egypt, Arab Rep.",3.617
1999,"Egypt, Arab Rep.",3.524
2000,"Egypt, Arab Rep.",3.442
2001,"Egypt, Arab Rep.",3.394
2002,"Egypt, Arab Rep.",3.318
2003,"Egypt, Arab Rep.",3.261
2004,"Egypt, Arab Rep.",3.181
2005,"Egypt, Arab Rep.",3.151
2006,"Egypt, Arab Rep.",3.109
2007,"Egypt, Arab Rep.",3.12
2008,"Egypt, Arab Rep.",3.101
2009,"Egypt, Arab Rep.",3.108
2010,"Egypt, Arab Rep.",3.213
2011,"Egypt, Arab Rep.",3.247
2012,"Egypt, Arab Rep.",3.335
2013,"Egypt, Arab Rep.",3.419
2014,"Egypt, Arab Rep.",3.441
2015,"Egypt, Arab Rep.",3.436
2016,"Egypt, Arab Rep.",3.203
2017,"Egypt, Arab Rep.",3.151
2018,"Egypt, Arab Rep.",3.098
2019,"Egypt, Arab Rep.",3.001
2020,"Egypt, Arab Rep.",2.96
2021,"Egypt, Arab Rep.",2.917
2022,"Egypt, Arab Rep.",2.878
2023,"Egypt, Arab Rep.",2.878
1985,South Africa,4.495
1986,South Africa,4.409
1987,South Africa,4.352
1988,South Africa,4.18
1989,South Africa,3.983
1990,South Africa,3.724
1991,South Africa,3.618
1992,South Africa,3.479
1993,South Africa,3.372
1994,South Africa,3.258
1995,South Africa,3.172
1996,South Africa,2.991
1997,South Africa,2.734
1998,South Africa,2.63
1999,South Africa,2.559
2000,South Africa,2.413
2001,South Africa,2.373
2002,South Africa,2.324
2003,South Africa,2.358
2004,South Africa,2.436
2005,South Africa,2.512
2006,South Africa,2.548
2007,South Africa,2.545
2008,South Africa,2.679
2009,South Africa,2.501
2010,South Africa,2.445
2011,South Africa,2.436
2012,South Africa,2.447
2013,South Africa,2.428
2014,South Africa,2.424
2015,South Africa,2.359
2016,South Africa,2.261
2017,South Africa,2.334
2018,South Africa,2.418
2019,South Africa,2.475
2020,South Africa,2.401
2021,South Africa,2.374
2022,South Africa,2.341
2023,South Africa,2.341
1985,Morocco,4.96
1986,Morocco,4.746
1987,Morocco,4.538
1988,Morocco,4.327
1989,Morocco,4.139
1990,Morocco,4.018
1991,Morocco,3.937
1992,Morocco,3.806
1993,Morocco,3.612
1994,Morocco,3.468
1995,Morocco,3.33
1996,Morocco,3.219
1997,Morocco,3.12
1998,Morocco,3.009
1999,Morocco,2.871
2000,Morocco,2.796
2001,Morocco,2.715
2002,Morocco,2.67
2003,Morocco,2.632
2004,Morocco,2.598
2005,Morocco,2.568
2006,Morocco,2.559
2007,Morocco,2.55
2008,Morocco,2.549
2009,Morocco,2.578
2010,Morocco,2.586
2011,Morocco,2.609
2012,Morocco,2.598
2013,Morocco,2.594
2014,Morocco,2.548
2015,Morocco,2.531
2016,Morocco,2.451
2017,Morocco,2.451
2018,Morocco,2.415
2019,Morocco,2.382
2020,Morocco,2.353
2021,Morocco,2.328
2022,Morocco,2.299
2023,Morocco,2.299
1985,Ghana,6.193
1986,Ghana,6.145
1987,Ghana,6.086
1988,Ghana,5.96
1989,Ghana,5.829
1990,Ghana,5.712
1991,Ghana,5.587
1992,Ghana,5.465
1993,Ghana,5.362
1994,Ghana,5.19
1995,Ghana,5.067
1996,Ghana,4.931
1997,Ghana,4.865
1998,Ghana,4.836
1999,Ghana,4.838
2000,Ghana,4.854
2001,Ghana,4.794
2002,Ghana,4.723
2003,Ghana,4.627
2004,Ghana,4.531
2005,Ghana,4.538
2006,Ghana,4.41
2007,Ghana,4.307
2008,Ghana,4.25
2009,Ghana,4.214
2010,Ghana,4.206
2011,Ghana,4.193
2012,Ghana,4.183
2013,Ghana,4.136
2014,Ghana,4.05
2015,Ghana,4.05
2016,Ghana,3.911
2017,Ghana,3.713
2018,Ghana,3.731
2019,Ghana,3.683
2020,Ghana,3.623
2021,Ghana,3.563
2022,Ghana,3.507
2023,Ghana,3.507
1985,Brazil,3.471
1986,Brazil,3.342
1987,Brazil,3.234
1988,Brazil,3.112
1989,Brazil,3.01
1990,Brazil,2.905
1991,Brazil,2.815
1992,Brazil,2.719
1993,Brazil,2.672
1994,Brazil,2.617
1995,Brazil,2.579
1996,Brazil,2.516
1997,Brazil,2.465
1998,Brazil,2.409
1999,Brazil,2.331
2000,Brazil,2.255
2001,Brazil,2.183
2002,Brazil,2.103
2003,Brazil,2.023
2004,Brazil,2.002
2005,Brazil,1.974
2006,Brazil,1.927
2007,Brazil,1.881
2008,Brazil,1.842
2009,Brazil,1.825
2010,Brazil,1.81
2011,Brazil,1.8
2012,Brazil,1.767
2013,Brazil,1.748
2014,Brazil,1.767
2015,Brazil,1.777
2016,Brazil,1.709
2017,Brazil,1.736
2018,Brazil,1.749
2019,Brazil,1.703
2020,Brazil,1.649
2021,Brazil,1.641
2022,Brazil,1.626
2023,Brazil,1.626
1985,Colombia,3.343
1986,Colombia,3.269
1987,Colombia,3.208
1988,Colombia,3.158
1989,Colombia,3.117
1990,Colombia,3.082
1991,Colombia,3.047
1992,Colombia,3.01
1993,Colombia,2.967
1994,Colombia,2.918
1995,Colombia,2.862
1996,Colombia,2.802
1997,Colombia,2.742
1998,Colombia,2.683
1999,Colombia,2.627
2000,Colombia,2.572
2001,Colombia,2.516
2002,Colombia,2.458
2003,Colombia,2.395
2004,Colombia,2.33
2005,Colombia,2.263
2006,Colombia,2.198
2007,Colombia,2.137
2008,Colombia,2.081
2009,Colombia,2.033
2010,Colombia,1.992
2011,Colombia,1.958
2012,Colombia,1.93
2013,Colombia,1.905
2014,Colombia,1.883
2015,Colombia,1.863
2016,Colombia,1.843
2017,Colombia,1.818
2018,Colombia,1.787
2019,Colombia,1.765
2020,Colombia,1.737
2021,Colombia,1.717
2022,Colombia,1.692
2023,Colombia,1.692
1985,Paraguay,4.974
1986,Paraguay,4.9
1987,Paraguay,4.818
1988,Paraguay,4.73
1989,Paraguay,4.639
1990,Paraguay,4.547
1991,Paraguay,4.457
1992,Paraguay,4.368
1993,Paraguay,4.282
1994,Paraguay,4.196
1995,Paraguay,4.108
1996,Paraguay,4.014
1997,Paraguay,3.911
1998,Paraguay,3.798
1999,Paraguay,3.678
2000,Paraguay,3.553
2001,Paraguay,3.431
2002,Paraguay,3.315
2003,Paraguay,3.21
2004,Paraguay,3.119
2005,Paraguay,3.04
2006,Paraguay,2.97
2007,Paraguay,2.907
2008,Paraguay,2.846
2009,Paraguay,2.787
2010,Paraguay,2.73
2011,Paraguay,2.675
2012,Paraguay,2.625
2013,Paraguay,2.636
2014,Paraguay,2.646
2015,Paraguay,2.645
2016,Paraguay,2.624
2017,Paraguay,2.591
2018,Paraguay,2.561
2019,Paraguay,2.525
2020,Paraguay,2.497
2021,Paraguay,2.469
2022,Paraguay,2.444
2023,Paraguay,2.444
1985,Guatemala,5.729
1986,Guatemala,5.663
1987,Guatemala,5.639
1988,Guatemala,5.621
1989,Guatemala,5.559
1990,Guatemala,5.48
1991,Guatemala,5.377
1992,Guatemala,5.314
1993,Guatemala,5.254
1994,Guatemala,5.191
1995,Guatemala,5.105
1996,Guatemala,5.008
1997,Guatemala,4.906
1998,Guatemala,4.8
1999,Guatemala,4.687
2000,Guatemala,4.583
2001,Guatemala,4.502
2002,Guatemala,4.371
2003,Guatemala,4.25
2004,Guatemala,4.134
2005,Guatemala,3.974
2006,Guatemala,3.845
2007,Guatemala,3.716
2008,Guatemala,3.571
2009,Guatemala,3.465
2010,Guatemala,3.375
2011,Guatemala,3.292
2012,Guatemala,3.219
2013,Guatemala,3.151
2014,Guatemala,3.088
2015,Guatemala,3.029
2016,Guatemala,2.973
2017,Guatemala,2.857
2018,Guatemala,2.743
2019,Guatemala,2.61
2020,Guatemala,2.484
2021,Guatemala,2.395
2022,Guatemala,2.354
2023,Guatemala,2.354
1985,Haiti,5.624
1986,Haiti,5.607
1987,Haiti,5.593
1988,Haiti,5.566
1989,Haiti,5.532
1990,Haiti,5.483
1991,Haiti,5.317
1992,Haiti,5.208
1993,Haiti,5.099
1994,Haiti,4.991
1995,Haiti,4.884
1996,Haiti,4.777
1997,Haiti,4.669
1998,Haiti,4.561
1999,Haiti,4.452
2000,Haiti,4.39
2001,Haiti,4.248
2002,Haiti,4.125
2003,Haiti,4.038
2004,Haiti,3.939
2005,Haiti,3.833
2006,Haiti,3.735
2007,Haiti,3.643
